Address,City,Numbe_Bedrooms,Number_bathrooms,Year Built,Total_Rooms,Lot Area,Price
"5450, Avenue des Sapins",Montréal (Rosemont/La Petite-Patrie),6,4,1955,10,5155,1649000
"3605, Avenue Northcliffe",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),5,4,1921,14,2992,1795000
"433, Avenue Lazard",Mont-Royal,5,6,1913,23,10640,3999900
"36, Rue de Shediac",Kirkland,5,3,1976,10,6000,849000
"251, Rue Saint-Raphaël",Montréal (L'Île-Bizard/Sainte-Geneviève),5,4,1992,13,11740,1350000
"92, Rue Audubon",Dollard-Des Ormeaux,4,2,1984,9,7321,719000
"6585, boulevard Lavoisier",Montréal (Saint-Léonard),3,3,1999,11,9338,959000
"2251, Rue Charles-Darwin",Montréal (Saint-Laurent),3,3,2000,11,2491,1195000
"92, Rue Audubon",Dollard-Des Ormeaux,4,2,1984,9,7321,719000
"3125, Le Blvd",Montréal ,4,3,1960,7,2145,1495000
"1820, Rue Filion",Montréal (Saint-Laurent),6,2,1952,9,4750,775000
"1095, Rue Deguire",Montréal (Saint-Laurent),3,2,1951,7,4246,489000
"3605, Avenue Northcliffe",Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce),5,4,1921,14,2992,1795000
"200, Rue Saint-Raphaël",Montréal (L'Île-Bizard/Sainte-Geneviève),6,4,1994,20,14233,1498000
"6900, Avenue Jean-Bourdon",Montréal (Ahuntsic-Cartierville),4,3,1966,8,5909,880000
"874, Rue Bertrand",Montréal (Saint-Laurent),4,2,1954,11,6370,749000
"215, Chemin Edgehill",Westmount,6,6,1946,20,6645,4500000
"17, Avenue Severn",Westmount,2,3,1928,10,3851,2150000
"15, Avenue Oakland",Westmount,4,3,1956,10,9435,6995000
"68, Chemin Belvedere",Westmount,5,5,1926,12,17540,4498000
"36, Chemin Edgehill",Westmount,5,5,1929,20,5309,3998000
"381, Avenue Claremont",Westmount,7,4,1895,12,2073,1599000
"28, Avenue Burton",Westmount,3,1,1894,8,1981,1149000
"3186, boulevard The Boulevard",Westmount,6,6,1911,22,5063,5995000
"627, Avenue Lansdowne",Westmount,5,4,1926,8,3450,1995000
"8, Avenue Forden",Westmount,9,7,1890,20,12785,11750000
"355, Avenue Olivier",Westmount,5,4,1897,17,3360,2250000
"5, Chemin Belfrage",Westmount,4,4,1925,14,2525,1790000
"4488, Rue Sherbrooke Ouest",Westmount,5,3,1900,15,2612,1350000
"3712, boulevard The Boulevard",Westmount,6,5,1939,13,8766,6900000
"657, Avenue Lansdowne",Westmount,5,4,1924,10,3569,1875000
"380, Avenue Lansdowne",Westmount,4,2,1910,11,3724,1925000
"4306, Avenue Montrose",Westmount,4,4,1963,18,5479,3250000
"4549, Rue Sherbrooke Ouest",Westmount,4,4,1900,9,3614,2150000
"463, Rue Crescent",Saint-Lambert ,4,3,1916,11,3178,945000
"465, Rue Upper Edison",Saint-Lambert ,3,3,1999,10,1951,699000
280 Rue Saint-Georges,Saint-Lambert ,3,1,1942,8,4515,815000
"427 - 429, Rue Logan",Saint-Lambert ,4,2,1924,9,8108,1369900
"232, Rue Terroux",Saint-Lambert ,5,4,2004,11,5063,2288000
"232, Avenue Putney",Saint-Lambert ,4,5,1959,24,10000,1495000
"210, boulevard Queen",Saint-Lambert ,3,4,1950,20,6600,1845000
"115, boulevard de Montrose",Saint-Lambert ,5,3,1956,25,18535,2300000
"237, Avenue Edison",Saint-Lambert ,3,1,1896,8,5500,949000
"305, Avenue Birch",Saint-Lambert ,5,4,1950,20,5766,1599000
"20, Avenue de Lombardie",Saint-Lambert ,5,4,1875,11,59722,950000
"97, Avenue de la Gironde",Saint-Lambert ,4,3,1980,15,10466,925000
"165, Rue Green",Saint-Lambert ,4,3,1960,8,5005,965000
"229, Avenue des Pyrénées",Saint-Lambert ,4,2,1968,9,6000,929000
"262, Avenue Edison",Saint-Lambert ,5,3,1918,17,5726,1535000
"238, Avenue Oak",Saint-Lambert ,3,3,1923,15,2842,939000
"195, Chemin Tiffin",Saint-Lambert ,4,3,1974,13,6243,1075500
"5122, boulevard Lalande",Montréal (Pierrefonds-Roxboro),4,3,2004,8,2893,599000
"65, 4e Avenue Nord",Montréal (Pierrefonds-Roxboro),4,1,1952,8,5600,399000
"4558, Rue Foster",Montréal (Pierrefonds-Roxboro),3,2,1987,11,4650,595000
"4955, Rue Taillefer",Montréal (Pierrefonds-Roxboro),5,4,2008,11,6734,1280000
"4920, Rue des Cageux",Montréal (Pierrefonds-Roxboro),3,3,1988,7,3261,489000
"13251, Rue Sauriol",Montréal (Pierrefonds-Roxboro),4,2,1961,8,6020,499000
"18459, Rue Meloche",Montréal (Pierrefonds-Roxboro),3,2,1992,10,2583,470000
"13260, Rue Aragon",Montréal (Pierrefonds-Roxboro),4,2,1969,12,7541,549000
"5100, Rue De Gaulle",Montréal (Pierrefonds-Roxboro),2,1,1947,5,3517,259000
"5079, Rue Aquila",Montréal (Pierrefonds-Roxboro),4,2,1956,6,5950,479500
"7027, Rue Apple Blossom",Montréal (Pierrefonds-Roxboro),4,2,1985,8,5632,599000
"55, 6e Avenue",Montréal (Pierrefonds-Roxboro),6,4,2021,13,5000,1029000
"36, Rue Deslauriers",Montréal (Pierrefonds-Roxboro),4,4,2021,11,5000,1120000
"4955, Rue Saint-Gabriel",Montréal (Pierrefonds-Roxboro),4,3,1963,14,5425,709000
"31, Rue de l'Île-Barwick",Montréal (Pierrefonds-Roxboro),5,6,1977,17,9667,1375000
"11762, boulevard Riverdale",Montréal (Pierrefonds-Roxboro),3,2,2003,10,5198,539000
"12703, Rue Senay",Montréal (Pierrefonds-Roxboro),4,3,1988,10,4412,699900
"640, Chemin de la Rive-Boisée",Montréal (Pierrefonds-Roxboro),7,5,2005,20,24556,3590000
"133, Avenue Duke-of-Kent",Pointe-Claire,6,5,2021,27,11850,1581765
"169, Avenue Sunnyside",Pointe-Claire,4,2,1952,12,6300,629000
"97, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1098000
"231, Chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,2,3,1958,11,7740,949000
"136, Avenue de Dieppe",Pointe-Claire,7,5,2015,22,8886,1580000
"44, Avenue des Frênes",Pointe-Claire,4,3,2019,8,2573,728000
"144, Avenue d' Ivanhoe Crescent",Pointe-Claire,3,2,1955,10,7500,675000
"448, Avenue Saint-Louis",Pointe-Claire,2,2,1946,8,18000,1299000
"130, Avenue Crestview",Pointe-Claire,4,2,1962,9,5400,459000
"292, Avenue Inglewood",Pointe-Claire,2,3,1955,10,7500,525000
"95, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1123000
"15, Chemin du Bord-du-Lac-Lakeshore",Pointe-Claire,3,3,1925,8,16819,999999
"124, Avenue Empress",Pointe-Claire,4,2,1959,9,5995,639900
"29, Avenue Tampico",Pointe-Claire,5,2,1959,12,7085,749000
"31, Avenue de la Baie-de-Valois",Pointe-Claire,4,2,1934,12,4635,549000
"99, Avenue Hastings",Pointe-Claire,6,4,2021,10,4849,1078000
"236, Avenue Strathcona",Pointe-Claire,6,3,1998,14,4767,798000
"11, Avenue Westfield",Pointe-Claire,4,3,1987,10,6000,849900
"123, Avenue Chaucer",Pointe-Claire,3,2,1986,6,2200,469000
"123, Avenue Viking",Pointe-Claire,4,2,1960,13,7512,509000
"1406, boulevard Céloron",Blainville,3,2,2001,8,4332,398000
